DATE        GDP
1948-q1     265.742
1948-q2     272.567
1948-q3     279.196
1948-q4     280.366
1949-q1     275.034
1949-q2     271.351
1949-q3     272.889
1949-q4     270.627
1950-q1     280.828
1950-q2     290.383
1950-q3     308.153
1950-q4     319.945
1951-q1     336
1951-q2     344.09
1951-q3     351.385
1951-q4     356.178
1952-q1     359.82
1952-q2     361.03
1952-q3     367.701
1952-q4     380.812
1953-q1     387.98
1953-q2     391.749
1953-q3     391.171
1953-q4     385.97
1954-q1     385.345
1954-q2     386.121
1954-q3     390.996
1954-q4     399.734
1955-q1     413.073
1955-q2     421.532
1955-q3     430.221
1955-q4     437.092
1956-q1     439.746
1956-q2     446.01
1956-q3     451.191
1956-q4     460.463
1957-q1     469.779
1957-q2     472.025
1957-q3     479.49
1957-q4     474.864
1958-q1     467.54
1958-q2     471.978
1958-q3     485.841
1958-q4     499.555
1959-q1     510.33
1959-q2     522.653
1959-q3     525.034
1959-q4     528.6
1960-q1     542.648
1960-q2     541.08
1960-q3     545.604
1960-q4     540.197
1961-q1     545.018
1961-q2     555.545
1961-q3     567.664
1961-q4     580.612
1962-q1     594.013
1962-q2     600.366
1962-q3     609.027
1962-q4     612.28
1963-q1     621.672
1963-q2     629.752
1963-q3     644.444
1963-q4     653.938
1964-q1     669.822
1964-q2     678.674
1964-q3     692.031
1964-q4     697.319
1965-q1     717.79
1965-q2     730.191
1965-q3     749.323
1965-q4     771.857
1966-q1     795.734
1966-q2     804.981
1966-q3     819.638
1966-q4     833.302
1967-q1     844.17
1967-q2     848.983
1967-q3     865.233
1967-q4     881.439
1968-q1     909.387
1968-q2     934.344
1968-q3     950.825
1968-q4     968.03
1969-q1     993.337
1969-q2     1009.02
1969-q3     1029.956
1969-q4     1038.147
1970-q1     1051.2
1970-q2     1067.375
1970-q3     1086.059
1970-q4     1088.608
1971-q1     1135.156
1971-q2     1156.271
1971-q3     1177.675
1971-q4     1190.297
1972-q1     1230.609
1972-q2     1266.369
1972-q3     1290.566
1972-q4     1328.904
1973-q1     1377.49
1973-q2     1413.887
1973-q3     1433.838
1973-q4     1476.289
1974-q1     1491.209
1974-q2     1530.056
1974-q3     1560.026
1974-q4     1599.679
1975-q1     1616.116
1975-q2     1651.853
1975-q3     1709.82
1975-q4     1761.831
1976-q1     1820.487
1976-q2     1852.332
1976-q3     1886.558
1976-q4     1934.273
1977-q1     1988.648
1977-q2     2055.909
1977-q3     2118.473
1977-q4     2164.27
1978-q1     2202.76
1978-q2     2331.633
1978-q3     2395.053
1978-q4     2476.949
1979-q1     2526.61
1979-q2     2591.247
1979-q3     2667.565
1979-q4     2723.883
1980-q1     2789.842
1980-q2     2797.352
1980-q3     2856.483
1980-q4     2985.557
1981-q1     3124.206
1981-q2     3162.532
1981-q3     3260.609
1981-q4     3280.818
1982-q1     3274.302
1982-q2     3331.972
1982-q3     3366.322
1982-q4     3402.561
1983-q1     3473.413
1983-q2     3578.848
1983-q3     3689.179
1983-q4     3794.706
1984-q1     3908.054
1984-q2     4009.601
1984-q3     4084.25
1984-q4     4148.551
1985-q1     4230.168
1985-q2     4294.887
1985-q3     4386.773
1985-q4     4444.094
1986-q1     4507.894
1986-q2     4545.34
1986-q3     4607.669
1986-q4     4657.627
1987-q1     4722.156
1987-q2     4806.16
1987-q3     4884.555
1987-q4     5007.994
1988-q1     5073.372
1988-q2     5190.036
1988-q3     5282.835
1988-q4     5399.509
1989-q1     5511.253
1989-q2     5612.463
1989-q3     5695.365
1989-q4     5747.237
1990-q1     5872.701
1990-q2     5960.028
1990-q3     6015.116
1990-q4     6004.733
1991-q1     6035.178
1991-q2     6126.862
1991-q3     6205.937
1991-q4     6264.54
1992-q1     6363.102
1992-q2     6470.763
1992-q3     6566.641
1992-q4     6680.803
1993-q1     6729.459
1993-q2     6808.939
1993-q3     6882.098
1993-q4     7013.738
1994-q1     7115.652
1994-q2     7246.931
1994-q3     7331.075
1994-q4     7455.288
1995-q1     7522.289
1995-q2     7580.997
1995-q3     7683.125
1995-q4     7772.586
1996-q1     7868.468
1996-q2     8032.84
1996-q3     8131.408
1996-q4     8259.771
1997-q1     8362.655
1997-q2     8518.825
